institutionCode	GRID	facilityName	facilityAcronym	instrumentOrServiceName	instrumentOrServiceDescription
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	Thermo cyclers (standard and gradient)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	StepOne Plus real-time PCR systems	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	ABI 3730XL  Analyzer (Sanger Sequencing)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	ABI 3130 Genetic Analyzer (Fragment Analysis)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	illumina MiSeq	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	illumina NextSeq	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	StepOne Plus real-time PCR systems	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	Oxford Nanopore Technologies MinION	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	Oxford Nanopore Technologies GridION	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	DNA size selection system (Blue Pippin)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	Covaris M220 Focussed Ultrasonicator	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	DNA quality assessment (incl. TapeStation, Nanodrop, Qubit, Spectrostar)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	Gel imaging systems	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	DNA/RNA isolation and purification	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Molecular Biology Unit	MBU	Specimen Preparation Laboratory	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Imaging and Analysis Centre		Chemical analysis (ICP, Ion chromatography, CHN elemental analysis)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Imaging and Analysis Centre		Micro-analysis (Electron probe micro-analysis | Laser ablation inductively coupled plasma mass spectrometry | SEM with X-ray micro-analysis)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Imaging and Analysis Centre		Imaging and tomography (Mico-CT  confocal microscopy | High-res SEM | Variable pressure SEM | TEM	
NHM	https://www.grid.ac/institutes/grid.35937.3b	X-ray diffraction laboratories		Powder Diffraction System (Nonius PDS120) 	Powder Diffraction System with PSD detector
NHM	https://www.grid.ac/institutes/grid.35937.3b	X-ray diffraction laboratories		Rigaku D/Max-Rapid II 	Powder and Single Crystal Diffractometer with two-dimensional IP detector
NHM	https://www.grid.ac/institutes/grid.35937.3b	X-ray diffraction laboratories		Micro Powder Diffraction System (Nonius PDS120)	 with GeniX High Flux Source and temperature stage (50-1200C)
NHM	https://www.grid.ac/institutes/grid.35937.3b	X-ray diffraction laboratories		High Resolution Scanning Diffractometer (Panalytical X'Pert Pro MPD - Alpha 1)	
NHM	https://www.grid.ac/institutes/grid.35937.3b	X-ray diffraction laboratories		Xcalibur Single Crystal Diffractometer (Agilent) 	with Cryojet temperature stage (90-490K)
NHM	https://www.grid.ac/institutes/grid.35937.3b	Zoology Radiography Suite		Philips MCN161 tube with a Tungsten target, tube voltage 160kV/10mA current	
NHM	https://www.grid.ac/institutes/grid.35937.3b	Zoology Radiography Suite		Machlett Solar Schall tube with a copper target, tube voltage 55kV/15mA current	
NHM	https://www.grid.ac/institutes/grid.35937.3b	NHM Analytical Facilities		Zeiss ULTRA Plus	High Resolution Field Emission SEM (Zeiss ULTRA Plus) with EDX analysis (Oxford Instruments Inca with X-Max 80 detector)
NHM	https://www.grid.ac/institutes/grid.35937.3b	NHM Analytical Facilities		JSM IT500	Variable pressure SEM (JSM IT500) with EDX analysis  (Oxford Instruments Inca with X-Max 80 detector)
NHM	https://www.grid.ac/institutes/grid.35937.3b	NHM Analytical Facilities		Zeiss EVO 15LS	Variable pressure analytical SEM (Zeiss EVO 15LS) with EDX analysis  (Oxford Instruments Inca with X-Max 80 detector) and cathodoluminesence imaging (Gatan Chroma CL)
NHM	https://www.grid.ac/institutes/grid.35937.3b	NHM Analytical Facilities		JEOL JXA-8530F Electron Microprobe (5-spectrometer) with EDX analysis	
