abbv	name	grid	cetaf
NHM	Natural History Museum London	grid.35937.3b	https://cetaf.org/london-natural-history-museum-0
NHMW	Naturhistorisches Museum Wien	grid.425585.b	https://cetaf.org/natural-history-museum-vienna-0
BGM	Agentschap Plantentuin Meise	grid.425433.7	https://cetaf.org/botanic-garden-meise-0
RBINS	Royal Belgian Institute of Natural Sciences	grid.20478.39	https://cetaf.org/royal-belgian-institute-natural-sciences-0
RMCA	Musee Royal de L'Afrique Centrale	grid.425938.1	http://www.africamuseum.be/
NMP	Narodni Muzeum-National Museum Prague	grid.425401.6	https://cetaf.org/national-museum
MfN	Museum fur Naturkunde	grid.422371.1	https://cetaf.org/berlin-natural-history-museum-0
BGBM	Botanischer Garten und Botanisches Museum	grid.507655.4	https://cetaf.org/botanic-garden-and-botanical-museum-berlin
SGN	Senckenberg Gesellschaft fur Naturforschung	grid.438154.f	https://cetaf.org/senckenberg-society-nature-research
SMNS	Staatliches Museum für Naturkunde Stuttgart	grid.437830.b	https://cetaf.org/stuttgart-state-museum-natural-history-1
UCPH/SNM	Statems Naturhistoriske Museum	grid.507616.3	https://cetaf.org/natural-history-museum-denmark-0
CSIC (MNCN)	Museo Nacional de Ciencias Naturales	grid.420025.1	https://cetaf.org/national-museum-natural-sciences
CSIC (RJB)	Real Jardín Botánico de Madrid	grid.507618.d	https://cetaf.org/royal-botanic-garden-madrid
LUOMUS	Helsingin Yliopisto, Finnish Museum of Natural History	grid.507626.0	https://cetaf.org/finnish-museum-natural-history
MNHN	Museum National d'Histoire Naturelle	grid.410350.3	https://cetaf.org/national-museum-natural-history-0
HNHM	Magyar Természettudományi Múzeum	grid.424755.5	https://cetaf.org/hungarian-natural-history-museum-0
HUJI	The National Natural History Collections, The Hebrew University of Jerusalem	grid.9619.7	https://cetaf.org/hebrew-university-jerusalem-national-natural-history-collections-0
NRM	Naturhistoriska Riksmuseet	grid.425591.e	https://cetaf.org/swedish-museum-natural-history-0
RBGE	Royal Botanic Garden Edinburgh	grid.426106.7	https://cetaf.org/royal-botanic-garden-edinburgh-0
RBGK	Royal Botanic Gardens, Kew	grid.4903.e	https://cetaf.org/royal-botanic-gardens-kew
